,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
7,52,XRP,XRP,xrp,740,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'binance-chain', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,48343101197.0,99989535142.0,,8,,,,2022-06-20T12:38:00.000Z,0.3224186678786417,1268508735.1124234,-5.4149,-0.8638251,3.02773263,2.21020717,-21.36480486,-57.45784188,-61.85359504,15586718289.059109,1.7234,32241866787.86,,2022-06-20T12:38:00.000Z,,,,,,2022-06-20 12:43:00.870143
8,5426,Solana,SOL,solana,334,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",,342509680.38298005,511616946.142289,,9,,,,2022-06-20T12:37:00.000Z,35.4259973148854,1975428648.444271,-5.4014,-1.50735474,10.03268537,28.45211827,-28.00365849,-67.28338137,-61.21988948,12133747017.569708,1.3416,18124540560.29,,2022-06-20T12:37:00.000Z,,,,,,2022-06-20 12:43:00.870143
9,74,Dogecoin,DOGE,dogecoin,486,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,132670764299.89409,132670764299.89409,,10,,,,2022-06-20T12:38:00.000Z,0.05962343051043197,712872056.6708609,-34.7155,-1.63222503,4.21308387,8.06954709,-28.85478435,-57.78732913,-51.72693463,7910286096.000634,0.875,7910286096.0,,2022-06-20T12:38:00.000Z,,,,,,2022-06-20 12:43:00.870143
10,6636,Polkadot,DOT,polkadot-new,352,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain']",,987579314.957085,1103303471.382273,,11,904869778.0,7133855716.156911,,2022-06-20T12:38:00.000Z,7.883847918895697,504440129.4712964,-12.6206,-0.89769409,9.49990766,16.48396169,-18.80998269,-59.40685315,-60.55396633,7785925126.968852,0.8609,8698276776.77,,2022-06-20T12:38:00.000Z,,,,,,2022-06-20 12:43:00.870143
11,4943,Dai,DAI,multi-collateral-dai,1002,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,6760015422.128631,6760015422.128631,,12,,,,2022-06-20T12:38:00.000Z,1.0000932875382833,470598478.5804663,-24.4719,-0.05023107,0.01697455,-0.07020114,-0.01731046,-0.00126051,0.06731409,6760646047.326118,0.7478,6760646047.33,,2022-06-20T12:38:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2022-06-20 12:43:00.870143
12,1958,TRON,TRX,tron,635,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'bnb-chain']",,92514858676.35571,92514909195.86462,,13,71659659264.0,4367769879.514407,,2022-06-20T12:37:00.000Z,0.060951585932374985,900563336.4870796,0.6029,-0.84930826,-1.8546369,-4.83498794,-15.25236797,-7.1853645,-3.58321165,5638927358.633423,0.6235,5638930437.88,,2022-06-20T12:37:00.000Z,,,,,,2022-06-20 12:43:00.870143
13,3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,455,2019-01-30T00:00:00.000Z,"['medium-of-exchange', 'defi', 'wrapped-tokens', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem']",,267289.72002186,267289.72002186,,14,,,,2022-06-20T12:37:00.000Z,20464.809167999047,435525039.02044106,-40.4188,-1.37487599,5.16107737,-15.23988024,-30.00400862,-51.80681617,-52.16963227,5470033112.815258,0.6048,5470033112.82,,2022-06-20T12:37:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2022-06-20 12:43:00.870143
14,3957,UNUS SED LEO,LEO,unus-sed-leo,19,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",,953954130.0,985239504.0,,15,,,,2022-06-20T12:37:00.000Z,5.401598236828453,6537828.84755408,-18.1742,0.11327723,6.74290013,-0.24544958,9.82426782,-9.29029975,-12.16037873,5152876946.62322,0.5698,5321867967.66,,2022-06-20T12:37:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,2022-06-20 12:43:00.870143
0,1,Bitcoin,BTC,bitcoin,9542,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19072356.0,19072356.0,,1,,,,2022-06-20T12:38:00.000Z,20436.076378403905,34526240605.98269,-22.9273,-1.51756246,4.69781021,-15.4064906,-30.02468138,-51.95384585,-52.31736501,389764123932.11,43.0961,429157603946.48,,2022-06-20T12:38:00.000Z,,,,,,2022-06-20 12:43:06.278569
1,1027,Ethereum,ETH,ethereum,5755,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'bnb-chain']",,121241546.124,121241546.124,,2,,,,2022-06-20T12:37:00.000Z,1127.1703903570208,21544665917.207195,-11.6422,-2.09940935,8.03318791,-9.66895298,-42.59182294,-64.20641417,-62.51339583,136659880872.07782,15.1162,136659880872.08,,2022-06-20T12:37:00.000Z,,,,,,2022-06-20 12:43:06.278569
2,825,Tether,USDT,tether,34869,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",,67924299701.40053,79710622658.12675,,3,,,,2022-06-20T12:37:00.000Z,0.9988131615821493,56992743510.53524,-14.636,-0.0121485,0.01478537,0.03420359,-0.0051207,-0.15501002,-0.15655701,67843684533.0093,7.5015,79616019028.85,,2022-06-20T12:37:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-06-20 12:43:06.278569
3,3408,USD Coin,USDC,usd-coin,4488,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,55922733412.07649,55922733412.07649,,4,,,,2022-06-20T12:37:00.000Z,1.000243570258684,5709835015.789118,-21.992,-0.00498099,0.01883631,-0.01177852,0.03377417,0.01690223,0.03697387,55936354526.71999,6.1872,55936354526.72,,2022-06-20T12:37:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2022-06-20 12:43:06.278569
4,1839,BNB,BNB,bnb,963,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'moonriver-ecosystem', 'bnb-chain']",165116760.0,163276974.63,163276974.63,,5,,,,2022-06-20T12:37:00.000Z,212.3308526156022,1285196769.4868457,-18.354,-1.18088552,2.73296293,-5.79133026,-30.70537672,-49.83177785,-47.70687867,34668739235.683945,3.8333,35059382431.93,,2022-06-20T12:37:00.000Z,,,,,,2022-06-20 12:43:06.278569
5,4687,Binance USD,BUSD,binance-usd,3861,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,17187011876.679256,17187011876.679256,,6,,,,2022-06-20T12:38:00.000Z,1.0015235633244677,5207190424.276267,-19.278,0.03760957,0.21373615,0.14311712,0.1638743,0.24549879,0.13764978,17213197377.631756,1.904,17213197377.63,,2022-06-20T12:38:00.000Z,1839.0,BNB,BNB,bnb,BUSD-BD1,2022-06-20 12:43:06.278569
